かしいかえん シルバニアガーデン,〒813-0001,福岡県福岡市東区香佐ヶ丘7-2-1,no,no
まもるーむ福岡,〒810-0065,福岡市中央区地行浜2丁目1−34 福岡市保健環境研究所1F,33.5947648,130.3645598
マリゾン,〒814-0001,福岡県福岡市早良区百道浜2-902-1,33.5948399,130.3513496
ホテル海の中道,〒811-0321,福岡県福岡市東区西戸崎18-25,33.66076049999999,130.3587248
崇福寺,〒812-0044,福岡県福岡市博多区千代4-7-79,33.6058311,130.4144419
スカイホイール,〒819-0001,福岡県福岡市西区小戸2-12-30 マリノアシティ福岡,33.5952398,130.3226607
鴻臚館跡展示館,〒810-0043,福岡県福岡市中央区城内1,33.586366,130.3851918
舞鶴公園,〒810-0043,福岡県福岡市中央区城内1,33.586366,130.3851918
シロウオとり,〒819-0015,福岡県福岡市,33.5903547,130.4017155
今宿野外活動センターキャンプ場,〒819-0163,福岡県福岡市西区今宿上の原217-2,33.5510656,130.2809783
生の松原海水浴場,〒819-0055,福岡県福岡市西区生の松原,33.5725337,130.2993846
金印公園,〒811-0323,福岡県福岡市東区志賀島字古戸1865,33.5903547,130.4017155
アクシオン福岡,〒812-0852,福岡市博多区東平尾公園2丁目1番4号,33.5822483,130.4622309
福岡市営渡船 （能古航路・小呂島航路）,〒819-0013,福岡県福岡市西区愛宕浜３−１−１,33.5972404,130.3274488
ロボット体験スペース【ロボスクエア】,〒814-0001,福岡県福岡市早良区百道浜2-3-2 TNC放送会館2F,33.592615,130.3527301
王貞治ベースボールミュージアム,〒810-0065,福岡県福岡市中央区地行浜２−２−２ 福岡Yahoo! JAPAN ドーム,33.591304,130.3611545
今泉,"",福岡市中央区今泉周辺,33.5858162,130.3986935
福岡国際会議場,〒812-0032,福岡市博多区石城町2-1,33.6045059,130.4034929
今津運動公園,〒819-0165,福岡県福岡市西区今津字津本,33.6035372,130.2601363
ユヌプリュム,〒810-0041,福岡県福岡市中央区大名1-2-28 アイディール大名2階,33.5858786,130.3932461
eeny meeny miny mo,〒812-0027,福岡県福岡市博多区下川端町3-1 博多リバレイン内,33.5956863,130.4065766
福岡市海づり公園,〒819-0203,福岡県福岡市西区大字小田字池ノ浦地先,33.582939,130.3231186
能古博物館,〒819-0012,福岡県福岡市西区能古522-2,33.6133551,130.3083027
能古渡船,〒819-0013,福岡県福岡市西区愛宕浜3-1-1,33.5972404,130.3274488
福岡シティ劇場,〒812-0018,福岡県福岡市博多区住吉1-2-1,33.5907714,130.4106092
福岡市営渡船（志賀島航路・玄界島航路）,〒812-0021,福岡県福岡市博多区築港本町13-6,33.6038531,130.3987989
脊振山,〒811-1113,佐賀県神埼市,33.3107627,130.3730603
福岡県立勤労青少年文化センター（ももちパレス）,〒814-0006,福岡県福岡市早良区百道2-3-15,33.5825578,130.3473919
西新リヤカー部隊,〒814-0002,福岡県福岡市早良区西新,33.5820298,130.3574051
油山市民の森キャンプ場,〒811-1355,福岡県福岡市南区桧原夫婦石,33.5187243,130.3769497
片江展望台,〒814-0101,福岡県福岡市城南区油山,33.5370781,130.3791159
福岡歴史の町,〒819-0375,福岡県福岡市西区徳永,33.5815084,130.2547318
大原海水浴場,〒819-0165,福岡県福岡市西区今津大原,33.6100747,130.2399432
福岡市立ヨットハーバー,〒819-0001,福岡県福岡市西区小戸,33.58861330000001,130.3143859
アイランドパークのコスモス,〒819-0012,福岡県福岡市西区能古1624,33.6313726,130.3018252
長垂の含紅雲母（ペグマタイト岩脈）,〒819-0001,福岡県福岡市西区,33.582939,130.3231186
生の松原（長垂海岸）,〒819-0001,福岡県福岡市西区,33.582939,130.3231186
今津海岸（長浜海岸）,〒819-0001,福岡県福岡市西区,33.582939,130.3231186
油山市民の森,〒811-1355,福岡県福岡市南区桧原夫婦石855-4,33.5187243,130.3769497
九州エネルギー館,〒810-0022,福岡県福岡市中央区薬院4-13-55,33.5783504,130.3957993
浄水通り,〒810-0022,福岡県福岡市中央区薬院,33.5818833,130.3971631
柳橋連合市場,〒810-0003,福岡県福岡市中央区春吉1-5-1,33.5829555,130.4086206
西公園,〒810-0061,福岡県福岡市中央区西公園,33.5953399,130.3771311
旧福岡県公会堂貴賓館,〒810-0002,福岡県福岡市中央区西中洲6-29,33.5915935,130.4043652
光雲神社,〒810-0061,福岡県福岡市中央区西公園13-1,33.5971313,130.376359
福岡市動植物園展望台,〒810-0037,福岡県福岡市中央区南公園1-1,33.5728164,130.39236
パピオアイスアリーナ,〒812-0044,福岡県福岡市博多区千代1-15-30,33.6014095,130.4171612
日蓮上人銅像,〒812-0045,福岡県福岡市博多区東公園内,33.6057674,130.4218107
聖福寺,〒812-0037,福岡県福岡市博多区御供所町6-1,33.597407,130.4144365
承天寺,〒812-0011,福岡県福岡市博多区博多駅前1-29-9,33.5952239,130.4170419
筥崎宮あじさい苑,〒812-0053,福岡県福岡市東区箱崎1-22-1,33.6145192,130.4222298
勝馬海水浴場,〒811-0325,福岡県福岡市東区大字勝馬,33.68278,130.2984419
志賀島海水浴場,〒811-0323,福岡県福岡市東区志賀島,33.663227,130.3129269
スポーツガーデン香椎,〒813-0044,福岡県福岡市東区千早3-6-37,33.6503736,130.4363636
潮見公園,〒811-0323,福岡県福岡市東区志賀島,33.663227,130.3129269
潮見公園展望台,〒811-0323,福岡県福岡市東区志賀島,33.663227,130.3129269
名島檣石,〒813-0001,福岡県福岡市東区,33.6177464,130.4173912
雁の巣レクリエーションセンター,〒811-0204,福岡県福岡市東区奈多1302-53,33.6788943,130.4006925
赤坂けやき通り,〒810-0001,福岡県福岡市中央区,33.5892157,130.3928134
金山渓谷,〒811-1132,福岡県福岡市早良区石釜,33.4874523,130.3280985
蒙古塚,〒811-0323,福岡県福岡市東区志賀島,33.663227,130.3129269
志賀海神社,〒811-0323,福岡県福岡市東区志賀島877,33.6679542,130.3131019
ユナイテッド・シネマ福岡 (ホークスタウンモール内),〒810-0065,福岡県福岡市中央区地行浜2-2-1 ホークスタウンモール モール1-2F,33.5926352,130.3635577
福岡交通株式会社,〒812-0051,福岡市東区箱崎ふ頭5丁目9-36,33.6279118,130.4135244
太宰府めぐりタクシーコース,〒812-0051,福岡市東区箱崎ふ頭5丁目9-36,33.6279118,130.4135244
タクシーコース,〒812-0051,福岡市東区箱崎ふ頭5丁目9-36,33.6279118,130.4135244
福岡国際センター,〒812-0021,福岡市博多区築港本町2-2,33.603156,130.4012348
FUZZ,〒810-0004,福岡県福岡市中央区渡辺通1-8-31 アーバン渡辺通2階,33.5848348,130.4061286
エンジェル スウィート,〒810-0001,福岡県福岡市中央区天神2-3-7 天神Nビル4階,33.5869524,130.3984433
club Lab−Z REMIX,〒810-0001,福岡県福岡市中央区天神3-6-12 岡部ビル6階,33.5925321,130.3952772
Sa＊kura,〒810-0042,福岡県福岡市中央区赤坂1-2-1 シャンボール赤坂1階,33.5851571,130.3906274
Seato,〒810-0041,福岡県福岡市中央区大名2-2-1 ワコービル1階,33.5881103,130.3936189
VIA BUS STOP,〒812-0027,福岡県福岡市博多区下川端町3-1 博多リバレイン内,33.5956863,130.4065766
setlfe.com,〒812-0018,福岡県福岡市博多区住吉1-2-22 キャナルシティ博多,33.5897736,130.4106379
TONY SILVER,〒810-0065,福岡県福岡市中央区地行浜2-2-1 ホークスタウン内,33.5931428,130.3636599
PAL All STARS,〒819-0001,福岡県福岡市西区小戸2-13-16 マリノアシティ福岡,33.594587,130.3211455
仲西眼鏡店 OUT LET,〒819-0001,福岡県福岡市西区小戸2-13-16 マリノアシティ福岡,33.594587,130.3211455
博多ケントス,〒810-0801,福岡県福岡市博多区中洲5-2-3 松居壱番館3階,33.5936128,130.4048644
明代宝船 鄭和,〒812-0021,福岡県福岡市博多区築港本町13-6,33.6038531,130.3987989
海中ライン,〒814-0001,福岡県福岡市早良区百道浜2-902-1地先 マリゾン内,33.5906821,130.3472751
セブンミリオンカントリークラブ,〒811-1112,福岡県福岡市早良区大字小笠木103-1,33.4864031,130.3754536
アインシュタイン・石原純歌碑,〒814-0001,福岡県福岡市早良区修猷館高校,33.5837213,130.3560607
妙福寺庭園,〒811-1101,福岡県福岡市早良区重留5-8-10,33.5283602,130.3415521
西光寺,〒811-1123,福岡県福岡市早良区内野2-7-13,33.499146,130.3382642
坊主ケ滝,〒814-0001,福岡県福岡市早良区,33.5819411,130.3484363
七隅ファミリープラザアイススケートセンター,〒814-0133,福岡県福岡市城南区七隈8-4-8,33.5512334,130.3643444
油山観音正覚寺,〒814-0155,福岡県福岡市城南区東油山508,33.5347581,130.3837994
今津海岸,〒819-0001,福岡県福岡市西区,33.582939,130.3231186
能古島海水浴場,〒819-0012,福岡県福岡市西区能古島,33.6103054,130.3072056
のこのしまキャンプ村,〒819-0012,福岡県福岡市西区能古島,33.6103054,130.3072056
檀一雄文学碑,〒819-0012,福岡県福岡市西区能古島,33.6103054,130.3072056
宮崎安貞墓,〒819-0373,福岡県福岡市西区周船寺381-14,33.574281,130.247041
興徳寺,〒819-0001,福岡県福岡市西区姪浜5-23-1,33.5870704,130.320647
誓願寺,〒819-0165,福岡県福岡市西区今津851,33.60706770000001,130.2639195
元寇防塁跡,〒819-0165,福岡県福岡市西区今津・西区生の松原・早良区西新,33.6035372,130.2601363
大塚古墳,〒819-0167,福岡県福岡市西区今宿大塚,33.5825813,130.2688392
丸隈山古墳,〒819-0373,福岡県福岡市西区周船寺,33.574281,130.247041
能古島展望台,〒819-0012,福岡県福岡市西区能古島,33.6103054,130.3072056
小戸展望台,〒819-0001,福岡県福岡市西区小戸,33.58861330000001,130.3143859
アイランドパークのツツジ,〒819-0012,福岡県福岡市西区能古1624,33.6313726,130.3018252
油山市民の森のさくら,〒815-0001,福岡県福岡市南区,33.5615691,130.4264283
徳富蘇峰詩碑,〒810-0061,福岡県福岡市中央区西公園,33.5953399,130.3771311
貝原益軒墓,〒810-0054,福岡県福岡市中央区今川金龍寺境内,33.5873739,130.3688402
天神よろず町通り,〒810-0073,福岡県福岡市中央区舞鶴,33.5914293,130.3917496
亀井（南冥・昭陽）家の墓,〒810-0064,福岡県福岡市中央区地行,33.5886376,130.3631211
南公園,〒810-0037,福岡県福岡市中央区南公園,33.5726677,130.3907386
大濠公園日本庭園,〒810-0051,福岡県福岡市中央区大濠公園1-7,33.5830301,130.378745
金龍寺,〒810-0054,福岡県福岡市中央区今川2-3-23,33.5854213,130.3646183
平尾山荘,〒810-0014,福岡県福岡市中央区平尾5丁目2-28,33.5718741,130.3973083
福岡市文学館（赤煉瓦文化館）,〒810-0001,福岡県福岡市中央区天神1-15-30,33.5931432,130.4018849
福岡城南丸多聞櫓,〒810-0043,福岡県福岡市中央区城内,33.584705,130.3807227
舞鶴公園の梅,〒810-0043,福岡県福岡市中央区城内,33.584705,130.3807227
南公園の桜,〒810-0001,福岡県福岡市中央区,33.5892157,130.3928134
ツクシオオカヤツリ自生地,〒810-0043,福岡県福岡市中央区城内,33.584705,130.3807227
西公園のツツジ,〒810-0001,福岡県福岡市中央区,33.5892157,130.3928134
福岡コンベンションビューロー,〒810-0001,福岡県福岡市中央区天神1-10-1,33.5909629,130.4010016
元寇史料館,〒812-0045,福岡県福岡市博多区東公園7-11,33.6071367,130.4203885
福岡県立総合プール,〒816-0052,福岡県福岡市博多区東平尾公園2-1-3,33.5811151,130.463692
亀山上皇銅像,〒812-0045,福岡県福岡市博多区東公園内,33.6057674,130.4218107
五足の靴,〒810-0801,福岡県福岡市博多区中洲,33.5925017,130.4063956
川上音次郎の墓,〒812-0001,福岡県福岡市博多区承天寺,33.595185,130.4170503
仙がい和尚絶筆碑及び曙桜歌碑,〒812-0001,福岡県福岡市博多区聖福寺,33.597407,130.4143671
比恵環溝住居遺跡,〒812-0001,福岡県福岡市博多区比恵駅南,33.5860583,130.4290096
金隈遺跡,〒812-0001,福岡県福岡市博多区金隈1-39-52,33.5593783,130.4718911
福岡県庁,〒812-0045,福岡県福岡市博多区東公園7-7,33.6067672,130.4182276
しかのしま資料館,〒811-0325,福岡県福岡市東区勝馬１８０３-１,33.6832048,130.2906368
福岡マリーナ,〒811-0322,福岡県福岡市東区大岳,33.6533059,130.3403908
西戸崎シ-サイドカントリークラブ,〒811-0321,福岡県福岡市東区大字西戸崎316,33.6553788,130.3369939
福岡カンツリー倶楽部,〒811-0216,福岡県福岡市東区大字上和白1318-1,33.6852475,130.4387896
枯野塚,〒812-0054,福岡県福岡市東区馬出,33.6096502,130.4193191
長塚節歌碑,〒813-0001,福岡県福岡市東区九大病院構内,33.5903547,130.4017155
不老水,〒813-0011,福岡県福岡市東区香椎宮内,33.6589575,130.443098
綾杉,〒813-0011,福岡県福岡市東区香椎４-１６-１,33.6528405,130.4521652
