太宰府天満宮,〒818-0117　福岡県太宰府市宰府4-7-1観光
桜井神社（岩戸宮）,〒819-1304　福岡県糸島郡志摩町桜井4227観光
福岡県青少年科学館,〒830-0003　福岡県久留米市東櫛原町1713観光
柳川城堀,〒832-0001　福岡県柳川市観光
小倉城庭園,〒803-0813　福岡県北九州市小倉北区城内２-１観光
和布刈神社,〒801-0855　福岡県北九州市門司区大字門司3492観光
愛宕神社,〒819-0015　福岡県福岡市西区愛宕2-7-1観光
あんずの里運動公園,〒811-3521　福岡県宗像郡津屋崎町大字勝浦1706-1観光
柳川温泉,〒832-0057　福岡県柳川市弥四郎町１０-１観光
柳川市観光協会,〒832-0065　福岡県柳川市沖端町35観光
北原白秋生家・白秋記念館,〒832-0065　福岡県柳川市沖端町55-1観光
カルナパーク花立山温泉,〒838-0821　福岡県朝倉郡筑前町上高場795観光
だざいふ遊園地,〒818-0117　福岡県太宰府市宰府4-7-8観光
恋ぼたる物産館,〒833-0014　福岡県筑後市大字尾島310
道の駅「おおむた」花ぷらす館,〒837-0907　福岡県大牟田市四箇新町2丁目1番地観光
能古島,〒819-0012　福岡県福岡市西区観光
海の中道,〒813-0001　福岡県福岡市東区観光
梅林寺,〒830-0028　福岡県久留米市京町210観光
茶の文化館,〒834-0201　福岡県八女市星野村10816-5観光
友泉亭公園,〒814-0122　福岡県福岡市城南区友泉亭1-46観光
マリノア,〒819-0001　福岡県福岡市西区小戸観光
グリーンパーク,〒808-0001　福岡県北九州市若松区響灘緑地内観光
門司電気通信レトロ館,〒801-0856　福岡県北九州市門司区浜町４-１観光
ノーフォーク広場,〒801-0854　福岡県北九州市門司区旧門司2観光
和布刈公園第2展望台,〒800-0001　福岡県北九州市門司区大字和布刈公園内観光
田川市石炭記念公園,〒825-0002　福岡県田川市伊田2734-1観光
福岡アンパンマンこどもミュージアムinモール,〒812-0027　福岡県福岡市博多区下川端町3-1 博多リバレイン5・6階観光
皿倉山スロープカー,〒805-0001　福岡県北九州市八幡東区大字尾倉1481-1観光
似顔絵屋,〒812-0018　福岡県福岡市博多区住吉1-2-1　キャナルシティ博多
秋月城跡,〒838-0011　福岡県朝倉市野鳥観光
「博多町家」ふるさと館,〒812-0039　福岡県福岡市博多区冷泉町6-10観光
高良大社,〒839-0851　福岡県久留米市御井町1番地観光
川端通り商店街,〒812-0001　福岡県福岡市博多区観光
関門海峡（早鞆ノ瀬戸）,〒801-0855　福岡県北九州市観光
高炉台公園,〒805-0019　福岡県北九州市八幡東区中央３丁目観光
北九州市立美術館,〒804-0001　福岡県北九州市戸畑区鞘ケ谷町21-1観光
朝倉の揚水車群,〒838-1307　福岡県朝倉市菱野観光
旧伊藤伝右衛門邸,〒820-0066　福岡県飯塚市幸袋300観光
日向神峡,〒834-1401　福岡県八女郡矢部村日向神観光
彦徳甲塚古墳,〒824-0122　福岡県京都郡みやこ町観光
筑後川,〒830-0224　福岡県久留米市城島町上青木314-1観光
月読神社,〒839-1233　福岡県久留米市田主丸町田主丸552-2観光
桜井二見ケ浦,〒819-1304　福岡県糸島市志摩桜井観光
鎮国寺,〒811-3506　福岡県宗像市吉田966番地観光
森鴎外旧居,〒802-0004　福岡県北九州市小倉北区鍛冶町1-7-2観光
足立森林公園,〒802-0037　福岡県北九州市小倉北区小文字１丁目観光
大牟田温泉　満月の湯,〒836-0895　福岡県大牟田市新勝立町6丁目37観光
海峡プラザ,〒801-0852　福岡県北九州市門司区港町5-1観光
ふるさと交流館日王の湯,〒822-1202　福岡県田川郡福智町神崎1056番地30観光
清水寺,〒835-0003　福岡県みやま市瀬高町本吉1119-1観光
調音の滝公園,〒839-1415　福岡県うきは市浮羽町妹川3184観光
脇田温泉,〒822-0133　福岡県宮若市脇田16 宮若市観光協会観光
芦屋歴史の里,〒807-0141　福岡県遠賀郡芦屋町大字山鹿１２００番地観光
東郷神社,〒811-3307　福岡県福津市渡観光
古賀政男記念館（生家）,〒831-0026　福岡県大川市大字三丸844観光
船小屋鉱泉場,〒833-0014　福岡県筑後市尾島
松濤園,〒832-0069　福岡県柳川市新外町1番地観光
寺町,〒830-0014　福岡県久留米市寺町観光
梅林寺外苑の梅,〒830-0028　福岡県久留米市京町209観光
脊振山,〒811-1113　福岡県福岡市（佐賀県）観光
関門海峡ミュージアム（海峡ドラマシップ）,〒801-0841　福岡県北九州市門司区西海岸１丁目３-３
風師山,〒801-0821　福岡県北九州市門司観光
エバーグリーンマリノア大観覧車,〒819-0001　福岡県福岡市西区小戸2-12-43　エバーグリーンマリノア観光
柳川の川下り,〒832-0001　福岡県柳川市観光
秋月党戦士の墓,〒824-0121　福岡県京都郡みやこ町甲塚観光
川ノ上遺跡,〒824-0101　福岡県京都郡みやこ町徳永観光
中島朝市,〒839-0254　福岡県柳川市中島（大徳商店街等）観光
県営筑後広域公園,〒833-0015　福岡県筑後市大字津島831-1観光
らいおん果実園,〒838-0221　福岡県朝倉郡筑前町吹田1478-1
ふれあい広場ふくま,〒811-3207　福岡県福津市上西郷５３９-１観光
福津市総合運動公園（なまずの郷）,〒811-3207　福岡県福津市上西郷779-1観光
雷山千如寺大悲王院,〒819-1145　福岡県糸島市雷山626観光
大宰府展示館,〒818-0101　福岡県太宰府市観世音寺4-6-1観光
光明禅寺,〒818-0117　福岡県太宰府市宰府2-16-1観光
太宰府観光協会,〒818-0117　福岡県太宰府市宰府3-2-3観光
風浪宮（おふろうさん）,〒831-0016　福岡県大川市酒見観光
石炭産業科学館,〒836-0037　福岡県大牟田市岬町６-２３観光
福岡市美術館,〒810-0051　福岡県福岡市中央区大濠公園1-6観光
櫛田神社の大イチョウ,〒812-0026　福岡県福岡市博多区上川端町1-41観光
中央公園,〒804-0022　福岡県北九州市戸畑区金比羅町、東鞘ヶ谷町、八幡東区高見5丁目観光
福岡ドーム　THE　BIG　LIFE,〒810-8660　福岡県福岡市中央区地行浜2-2-2　福岡ドーム内観光
内尾薬師如来,〒800-0362　福岡県京都郡苅田町大字馬場
博多百年蔵,〒812-0043　福岡県福岡市博多区堅粕1-30-1観光
カナディアンキャンプ　乗馬クラブ,〒811-3501　福岡県宗像市神湊44-1
喜八荘,〒819-1641　福岡県糸島郡二丈町吉井3504-1
北野天満宮,〒830-1113　福岡県久留米市北野町中3267観光
いちご狩り,〒839-1411　福岡県うきは市浮羽町流川・一の瀬観光
夜須高原記念の森,〒838-0201　福岡県朝倉郡筑前町櫛木3-6観光
観世音寺,〒818-0101　福岡県太宰府市観世音寺5-6-1観光
戒壇院,〒818-0101　福岡県太宰府市観世音寺5-7-10観光
八女中央大茶園,〒834-0000　福岡県八女市本観光
勝盛公園,〒820-0068　福岡県飯塚市片島一丁目観光
内ケ磯渓谷,〒822-0001　福岡県直方市観光
臥龍梅,〒837-0922　福岡県大牟田市今山２５３８　普光寺観光
夜宮公園,〒804-0042　福岡県北九州市戸畑区夜宮観光
白野江植物公園,〒801-0802　福岡県北九州市門司区白野江２丁目
北九州市国際友好記念図書館,〒801-0853　福岡県北九州市門司区東港町１-１２観光
天神中央公園,〒810-0002　福岡県福岡市中央区天神1-1観光
神水まむし温泉,〒819-1641　福岡県糸島郡二丈町吉井2380ー1観光
小石原焼,〒838-1601　福岡県朝倉郡小石原村
杉田久女句碑,〒824-0721　福岡県田川郡添田町観光
竹原古墳,〒822-0142　福岡県宮若市竹原734-3観光
船小屋鉱泉源公園,〒833-0014　福岡県筑後市尾島
嘉穂劇場,〒820-0041　福岡県飯塚市飯塚5-23観光
三池山,〒836-0001　福岡県大牟田市観光
河内温泉「あじさいの湯」,〒805-0045　福岡県北九州市八幡東区河内二丁目３-３６
高塔山公園,〒808-0053　福岡県北九州市若松区大字修多羅観光
矢筈山キャンプ場,〒800-0007　福岡県北九州市門司区小森江観光
御祖神社（妙見神社）,〒802-0041　福岡県北九州市小倉北区妙見町１７-１観光
花乱の滝,〒814-0001　福岡県福岡市早良区観光
太宰府南画美術館聴松園,〒818-0117　福岡県太宰府市宰府1丁目１５−１１観光
ナイキファクトリーストア　ホークスタウン,〒810-0065　福岡県福岡市中央区地行浜2-2-1　ホークスタウン内観光
城山公園,〒834-1203　福岡県八女市黒木町北木屋観光
猫尾城跡,〒834-1203　福岡県八女市黒木町北木屋観光
二丈温泉「きららの湯」,〒819-1601　福岡県糸島市二丈深江５９８-１観光
福岡レイクサイドカントリークラブ,〒820-0077　福岡県飯塚市椋本611-19観光
福間海浜公園,〒811-3219　福岡県福津市西福間3-49-1観光
若杉山,〒811-2411　福岡県糟屋郡篠栗町大字若杉観光
宇美八幡宮,〒811-2101　福岡県糟屋郡宇美町宇美一丁目１番１号観光
長田鉱泉場,〒835-0007　福岡県みやま市瀬高町長田観光
加布里公園,〒819-1124　福岡県糸島市加布里702-1観光
宗像ユリックス,〒811-3437　福岡県宗像市久原400番地観光
筑紫神社,〒818-0024　福岡県筑紫野市原田2550観光
東公園,〒812-0045　福岡県福岡市博多区東公園観光
油山,〒811-1111　福岡県福岡市観光
無法松の碑,〒802-0082　福岡県北九州市小倉北区古船場町１-３５商工貿易会館裏観光
篠崎八幡神社,〒803-0861　福岡県北九州市小倉北区篠崎一丁目７-１観光
帆柱ケーブル,〒805-0059　福岡県北九州市八幡東区尾倉１４８１-１観光
和布刈公園,〒801-0855　福岡県北九州市門司区大字門司観光
まもるーむ福岡,〒810-0065　福岡市中央区地行浜2丁目1−34 福岡市保健環境研究所1F観光
マリゾン,〒814-0001　福岡県福岡市早良区百道浜2-902-1観光
ラピュタファーム,〒827-0001　福岡県田川郡川崎町大ヶ原観光
三柱神社,〒832-0826　福岡県柳川市三橋町高畑323-1観光
清水公園,〒835-0003　福岡県みやま市瀬高町本吉観光
今村カトリック教会,〒830-1223　福岡県三井郡大刀洗町今観光
吉井,〒839-1306　福岡県うきは市観光
道の駅小石原,〒838-1601　福岡県朝倉郡東峰村大字小石原観光
JR内野カントリークラブ,〒820-0708　福岡県飯塚市弥山740観光
狩尾岬,福岡県遠賀郡芦屋町大字山鹿観光
駕与丁公園,〒811-2309　福岡県糟屋郡粕屋町駕与丁三丁目観光
垣生公園,〒809-0001　福岡県中間市垣生観光
旧吉原家住宅・資料館,〒831-0041　福岡県大川市大字小保136-17観光
八女民俗資料館,〒834-0031　福岡県八女市本町2-123-2観光
甘木公園,〒838-0061　福岡県朝倉市菩提寺観光
梅林公園,〒821-0011　福岡県嘉麻市下山田３２８-１観光
柳川の柳,〒832-0001　福岡県柳川市観光
久留米百年公園,〒839-0864　福岡県久留米市百年公園2432-1観光
須佐能袁神社,〒839-0835　福岡県久留米市草野町草野443-2観光
筑後川の菜の花,〒839-0201　福岡県久留米市観光
オーム乳業（株）,〒836-0895　福岡県大牟田市新勝立町１-３８-１観光
油山牧場,〒811-1353　福岡県福岡市南区柏原西山田710-2観光
崇福寺,〒812-0044　福岡県福岡市博多区千代4-7-79観光
小倉城のさくら,〒803-0813　福岡県北九州市小倉北区城内観光
木屋瀬,〒807-1261　福岡県北九州市八幡西区木屋瀬観光
三国境石,〒838-0101　福岡県小郡市三国地区観光
北原白秋詩碑,〒805-0001　福岡県北九州市八幡東区皿倉山頂東展望台前観光
スカイホイール,〒819-0001　福岡県福岡市西区小戸2-12-30　マリノアシティ福岡観光
鴻臚館跡展示館,〒810-0043　福岡県福岡市中央区城内1観光
千間土居公園,〒834-0085　福岡県八女市立花町北山観光
高倉神社,〒811-4234　福岡県遠賀郡岡垣町大字高倉1113観光
雷山,〒819-1145　福岡県糸島市雷山観光
宗像観光情報コーナー,〒811-3502　福岡県宗像市江口1172（道の駅むなかた内）観光
遠賀川,〒809-0001　福岡県中間市（芦屋町・水巻町・遠賀町）観光
古処山,〒820-0332　福岡県朝倉市観光
東陶機器（株）小倉第1工場,〒802-8601　福岡県北九州市小倉北区中島2-1-1観光
マリンメッセ福岡,〒812-0031　福岡市博多区沖浜町7-1観光
神宮院の大銀杏,〒822-1401　福岡県田川郡香春町殿町観光
柳川古文書館,〒832-0021　福岡県柳川市隅町71-2観光
久留米城跡（篠山城）,〒830-0021　福岡県久留米市篠山町444観光
山辺道文化館,〒839-0835　福岡県久留米市草野町草野487-1観光
舞鶴公園,〒810-0043　福岡県福岡市中央区城内1観光
志賀島,〒813-0001　福岡県福岡市東区観光
シロウオとり,〒819-0015　福岡県福岡市観光
須佐神社（今井祇園）,〒824-0015　福岡県行橋市元永観光
シーサイドスパ,〒805-0071　福岡県北九州市八幡東区東田5-2-7観光
若宮八幡宮,〒839-1311　福岡県うきは市吉井町若宮366-1観光
白壁通り,〒839-1321　福岡県うきは市吉井町観光
洞山,〒807-0101　福岡県遠賀郡芦屋町大字山鹿観光
三連水車,〒838-1305　福岡県朝倉市菱野観光
遍照院,〒830-0014　福岡県久留米市寺町56観光
平和観世音菩薩,〒802-0978　福岡県北九州市小倉南区大字蒲生鷲峰山頂観光
生の松原海水浴場,〒819-0055　福岡県福岡市西区生の松原観光
大牟田観光協会,〒836-0001　福岡県大牟田市観光
宮浦石炭記念公園,〒836-0835　福岡県大牟田市西宮浦町観光
萩ノ尾古墳,〒836-0097　福岡県大牟田市東萩尾町観光
緑道,〒811-2101　福岡県糟屋郡宇美町
大牟田観光協会,〒836-0843　福岡県大牟田市不知火町1-144観光
銅の鳥居,〒824-0721　福岡県田川郡添田町英彦山観光
甲宗八幡神社,〒801-0854　福岡県北九州市門司区旧門司1-7-18観光
姉子の浜　鳴き砂,〒819-1642　福岡県糸島市二丈鹿家観光
天拝山,〒818-0001　福岡県筑紫野市観光
大牟田市立 三池カルタ・歴史資料館,〒836-0861　福岡県大牟田市宝坂町２-２-３観光
金印公園,〒811-0323　福岡県福岡市東区志賀島字古戸1865観光
東田第一高炉史跡広場,〒805-0001　福岡県北九州市八幡東区東田二丁目３番１２号観光
源平壇之浦合戦の壁画,〒800-0001　福岡県北九州市門司区大字和布刈公園内観光
世界平和パゴダ,〒800-0001　福岡県北九州市門司区和布刈公園内観光
河内貯水池,〒805-0048　福岡県北九州市八幡東区大字大蔵観光
熊ヶ畑「ホタルの里」,〒821-0013　福岡県嘉麻市熊ヶ畑観光
船小屋温泉,〒833-0014　福岡県筑後市観光
久山町猪野地区,〒811-2503　福岡県糟屋郡久山町観光
彦山川上流付近・中元寺川上流付近,〒824-0603　福岡県田川郡添田町中元寺観光
鼓の里・大肥川沿い,〒838-1602　福岡県朝倉郡東峰村大字小石原鼓観光
棚田親水公園,〒838-1701　福岡県朝倉郡東峰村大字宝珠山3100観光
田代川沿い,〒834-1205　福岡県八女市黒木町田代観光
黒川,〒807-1101　福岡県北九州市八幡西区上香月1丁目、3丁目観光
小熊野川,〒803-0864　福岡県北九州市小倉北区観光
アクシオン福岡,〒812-0852　福岡市博多区東平尾公園2丁目1番4号観光
福岡市営渡船　（能古航路・小呂島航路）,〒819-0013　福岡県福岡市西区愛宕浜３−１−１観光
コムシティ,〒806-0021　福岡県北九州市八幡西区黒崎3-15-3観光
ロボット体験スペース【ロボスクエア】,〒814-0001　福岡県福岡市早良区百道浜2-3-2 TNC放送会館2F観光
産宮神社,〒819-1108　福岡県糸島市波多江駅南1丁目13-1観光
王貞治ベースボールミュージアム,〒810-0065　福岡県福岡市中央区地行浜２−２−２ 福岡Yahoo! JAPAN ドーム観光
今泉,福岡市中央区今泉周辺観光
福岡国際会議場,〒812-0032　福岡市博多区石城町2-1観光
今津運動公園,〒819-0165　福岡県福岡市西区今津字津本観光
浦山公園,〒830-0052　福岡県久留米市上津町字池田観光
ユヌプリュム,〒810-0041　福岡県福岡市中央区大名1-2-28　アイディール大名2階観光
eeny　meeny　miny　mo,〒812-0027　福岡県福岡市博多区下川端町3-1　博多リバレイン内観光
玄海グリーンライン,〒811-4201　福岡県遠賀郡岡垣町波津観光
かっぱ村,〒823-0003　福岡県鞍手郡宮田町本城1889-1観光
明治屋産業・びっくり市,〒822-0001　福岡県直方市感田一丁田611観光
福岡市海づり公園,〒819-0203　福岡県福岡市西区大字小田字池ノ浦地先観光
能古博物館,〒819-0012　福岡県福岡市西区能古522-2観光
能古渡船,〒819-0013　福岡県福岡市西区愛宕浜3-1-1観光
福岡シティ劇場,〒812-0018　福岡県福岡市博多区住吉1-2-1観光
正助ふるさと村,〒811-4152　福岡県宗像市武丸199観光
ふれあいの館　そえだジョイ,〒824-0602　福岡県田川郡添田町大字添田1573観光
筑紫温泉アクアフォーレ,〒818-0024　福岡県筑紫野市大字原田832-1観光
春日市奴国の丘歴史公園,〒816-0861　福岡県春日市岡本3-57観光
大牟田市諏訪公園,〒836-0037　福岡県大牟田市岬町1-3観光
オルゴールミュージアム門司港,〒801-0852　福岡県北九州市門司区港町5-1観光
紫江&#039;s　水環境館,〒802-8511　福岡県北九州市小倉北区船場町1-2観光
出光美術館（門司）,〒801-0853　福岡県北九州市門司区東港町2-3観光
福岡市営渡船　（志賀島航路・玄界島航路）,〒812-0021　福岡県福岡市博多区築港本町13-6観光
唐津焼　高麗窯,〒819-1335　福岡県糸島郡志摩町芥屋157
杉の馬場通り,〒838-0011　福岡県甘木市大字野鳥観光
日月窯,〒839-1333　福岡県浮羽郡吉井町富永404-1観光
水辺の散歩道,〒832-0066　福岡県柳川市川下りコース沿い
脊振山,〒811-1113　佐賀県神埼市観光
羽金山,〒819-1154　佐賀県佐賀市上無津呂観光
旧蔵内邸,〒829-0115　福岡県築上郡築上町上深野３９６観光
さわやか市・大平,〒871-0923　福岡県築上郡上毛町観光
道の駅しんよしとみ,〒871-0902　福岡県築上郡上毛町大字大ノ瀬（国道10号線）観光
みやこ町花菖蒲公園,〒824-0123　福岡県京都郡みやこ町国分1240-2観光
八景山自然公園,〒824-0125　福岡県京都郡みやこ町国作1338-1観光
惣社八幡神社,〒824-0124　福岡県京都郡みやこ町国作観光
豊前国分寺,〒824-0123　福岡県京都郡みやこ町国分279-1観光
国分寺三重塔,〒824-0123　福岡県京都郡みやこ町国分280-6観光
チェリーゴルフクラブ　小倉南コース,〒824-0802　福岡県京都郡みやこ町勝山松田2885観光
蛇渕キャンプ場,〒824-0253　福岡県京都郡みやこ町犀川帆柱９６９番地1観光
向山公園,〒800-0302　福岡県京都郡苅田町若久町2丁目観光
あがの温泉白糸の湯,〒822-1102　福岡県田川郡福智町上野１６９８番地観光
ほうじょう温泉ふじ湯の里,〒822-1212　福岡県田川郡福智町弁城１３００番地１観光
石坂トンネル,〒824-0431　福岡県田川郡赤村大字赤6938-2観光
赤村トロッコ油須原線,福岡県田川郡赤村
鷹羽ロイヤルカントリークラブ,〒824-0512　福岡県田川郡大任町大字大行事4320観光
興国寺,〒822-1102　福岡県田川郡福智町上野1892観光
白糸の滝,〒822-1102　福岡県田川郡福智町上野観光
福岡フェザントカントリークラブ,〒827-0001　福岡県田川郡川崎町大字安真木1086-7観光
添田公園,〒824-0602　福岡県田川郡添田町添田観光
英彦山の鬼杉,〒824-0721　福岡県田川郡添田町大字英彦山観光
英彦山,〒824-0601　福岡県田川郡添田町観光
中山大藤,〒832-0811　福岡県柳川市三橋町中山熊野宮観光
清水寺本坊庭園,〒835-0003　福岡県みやま市瀬高町本吉1117-4観光
星野温泉,〒834-0201　福岡県八女市麻生観光
石積みの棚田,〒834-0201　福岡県八女市広内地区観光
星のふるさと公園,〒834-0201　福岡県八女市麻生観光
星の文化館,〒834-0201　福岡県八女市星野村10828-1観光
秘境・杣の里渓流公園,〒834-1401　福岡県八女市矢部村北矢部本川内観光
八女津媛神社,〒834-1401　福岡県八女市神ノ窟観光
日向神ダム湖,〒834-1401　福岡県八女市観光
釈迦岳,〒834-1401　福岡県八女市観光
逆瀬ゴットン館,〒834-0102　福岡県八女郡広川町大字水原2777-1観光
夢たちばなビレッジ,〒834-0084　福岡県八女市立花町白木3720観光
ふるさとわらべ館,〒834-1104　福岡県八女市上陽町下横山4838観光
ホタルの里・水車公園,〒834-1102　福岡県八女市上陽町北川内観光
グリーンピア八女キャンプ場,〒834-1204　福岡県八女市黒木町木屋観光
グリーンパル日向神峡キャンプ場,〒834-1201　福岡県八女市黒木町北大渕観光
黒木のフジ,〒834-1217　福岡県八女市黒木町黒木観光
津江神社の樟,〒834-1213　福岡県八女市黒木町本分観光
天然温泉大木の湯アクアス,〒830-0416　福岡県三潴郡大木町大字八町牟田538‐1観光
浮羽カントリークラブ,〒839-1413　福岡県うきは市浮羽新川4094観光
清水湧水,〒839-1408　福岡県うきは市浮羽町山北１９４１観光
本仏寺（西身延）,〒839-1411　福岡県うきは市浮羽町流川観光
つづら棚田,〒839-1413　福岡県うきは市浮羽町新川つづら観光
片ノ瀬温泉,〒839-1225　福岡県久留米市田主丸町片ノ瀬観光
芥屋海水浴場,〒819-1335　福岡県糸島市志摩芥屋観光
可也山自然歩道,〒819-1314　福岡県糸島市志摩師吉
芥屋の大門,〒819-1335　福岡県糸島市志摩芥屋観光
可也山（糸島富士）,〒819-1301　福岡県糸島市志摩師吉観光
