北上川,〒020-0001　岩手県盛岡市（岩手町〜宮城県追波湾・石巻湾）観光,岩手県北部岩手町御堂（御堂観音境内の湧き水という説が一番有力）を源として、北上・奥羽山脈から発する幾多の大小支流河川をあわせて、岩手県の穀倉地帯を南に縦貫し一関下流の狭窄部を経て宮城県に入る。その後旧北上川を分流、本線は追波湾に、旧線は石巻湾に注ぐ。本流が太く支流が細いという特徴があり、多くの支流は排水路的な役割をもつ。盛岡駅前を流れ、そこからは岩手山ものぞむことができる盛岡を代表する景観を作り上げている。
盛岡城跡公園,〒020-0023　岩手県盛岡市内丸1-37観光,不来方（こずかた）城と呼ばれる南部氏の居城跡。啄木や賢治もよく訪れたといわれる。日本の都市公園100選の一つである盛岡城跡公園は、盛岡城主の居城跡を利用した公園。園内には、新渡戸稲造や石川啄木、宮沢賢治ら、ゆかりの文人達の歌碑も置かれている。冬期間は、長い歴史を刻む石垣がライトアップされ盛岡雪あかりなどイベント会場となる。また、春には「桜まつり」が開かれる。
盛岡市動物公園,〒020-0803　岩手県盛岡市新庄字下八木田60-18観光,野外レクリエーションやピクニックなど自然を楽しみながら動物と親しめる施設。哺乳類，鳥類あわせて約１００種７００頭羽を展示しています。動物とのふれあい体験や、自然観察会なども行っています。
猊鼻渓舟下り,〒029-0302　岩手県一関市東山町長坂字町467観光,すべての基本情報を見る
大沢温泉,〒025-0244　岩手県花巻市湯口大沢181観光,豊沢川に沿い背後は山，前には田園が広がる素朴な湯治場。清流ごしに眺める四季折々の桜，新緑，紅葉，冬木立が美しい。露天風呂をはじめ大小合わせて8カ所の浴場があるが，何といっても名物は露天風呂。渓流より一段高く岩風呂式にしつらえてあり，混浴。
浄土ヶ浜,岩手県宮古市観光,陸中海岸を代表する景勝地。白い流紋岩でできた美しい海岸。磯遊び、海水浴客で賑わう。日本の快水浴場百選の『海の部特選』に選定された。　浄土ヶ浜の地名は天保年間（1681〜1683）に宮古山常安寺七世の霊鏡和尚が「さながら極楽浄土のごとし」と感嘆したことから名づけられました。東日本大震災の被害による復旧工事のため、浄土ヶ浜区域内遊歩道が通行止めとなっております。
カッパ淵,〒028-0555　岩手県遠野市土淵町土淵観光,カッパ伝説が多く残る遠野で一番知られている場所がここ。その昔、武将が馬の足を洗っていたら、この淵からカッパが出てきて悪さをしたらしい。今はその淵らしきものはないが、幅２〜３ｍの川原には、夫婦のカッパが鎮座する祠があり、拝むと胸が大きくなるという噂も。駅前には、レンタサイクルもある。
毛越寺庭園,〒029-4102　岩手県西磐井郡平泉町平泉字大沢58観光,世界文化遺産。二代基衡公、三代秀衡公が造営した極楽浄土を現世に再現したという浄土庭園。
道の駅　石鳥谷,〒028-3171　岩手県花巻市石鳥谷町中寺林7-17-3観光,レストラン、物産センター等杉玉を飾ったシンボルタワーが目印で、酒蔵をイメージした建物が立ち並んでいる
八幡平パノラマスキー場,〒028-7302　岩手県八幡平市八幡平温泉郷観光,各コースの平均斜度が14度前後と初中級者向きのゲレンデが多く、ファミリー・ビギナー向けに最適です。また、ファミリー向けの施設、サービスも充実し、託児所、ファミリーゲレンデ、チュービングソリコース、滑り台などを設置した「雪の遊園地」(スノーランド)も開設します。ゲレンデはトップから山麓までほぼ一直線で、ロングコース(2.7km)を一気に滑り降りる醍醐味も満喫できます。
いわて子どもの森,〒028-5134　岩手県二戸郡一戸町奥中山字西田子1486-2観光,一戸町、奥中山の美しいブナ林に囲まれた「いわて子どもの森」は、子供達がさまざまな遊びを通じて感じる「おどろきと出会い」を育む体験型の児童館。
高松公園,〒020-0114　岩手県盛岡市高松1-26-1観光,上田堤が造られたのは、南部２６代藩主信直公が三戸より盛岡に移り、盛岡城築城を開始した慶長年間から寛永年間といわれています。当時、上田方面は湿地帯で、池方面からの浸水が町づくりの大きな障害となったため、治水を目的として、上田に三段の堤防が築かれました。この上堤、中堤、下堤のうち、最も大きかった中堤が、現在の高松の池となって残っています。上田堤付近は南部公の鷹狩りの場であり、また、松林の美しさが有名であったことにちなんで「高松の池」と名付けられたと伝えられています。 　明治22年市制施行と共に公園化が進められ、サクラ以外にもボタン園・アヤメ園・バラ園等を整備し、風致公園として市民に親しまれています。　平成元年に「日本さくらの名所100選」に選ばれました。
八幡平,〒028-7303　岩手県岩手郡松尾村観光,岩手の八幡平温泉と秋田トロコ温泉を結ぶ全長約27kmの八幡平アスピーテラインは、岩手山から八幡平に連なる雄大な山々が楽しめる。標高１６１４ｍの頂上へは、県境駐車場から歩いて約20分。遊歩道も整備されていて、１周１時間くらい。11月上旬〜４月下旬まで通行止め。新緑は６月中旬、紅葉は９月下旬。
道の駅雫石あねっこ,〒020-0582　岩手県岩手郡雫石町橋場坂本118-10観光,平成13年7月開業雫石の新鮮野菜や特産品を販売する産直施設のほか、地産地消メニューが自慢のレストランや軽食コーナーが人気。敷地内にはそば打ち体験施設やハーブ園ほかオートキャンプ場が設けられている。
龍泉洞,〒027-0501　岩手県下閉伊郡岩泉町岩泉字神成1-1観光,日本三大鍾乳洞の一つで、洞内に住むコウモリとともに国の天然記念物指定を受けている。奥から湧き出る清水が数カ所に渡って深い地底湖を形成しており、第三地底湖は水深98m。なお、未公開の第四地底湖は水深120m（日本一）。水の透明度は世界有数。平成23年4月に洞内照明を全面LED化してリニューアルオープン。
滝観洞,〒029-2501　岩手県気仙郡住田町上有住字土倉298-81 滝観洞観光センター観光,入口から880ｍのところに高さ60ｍ、周囲50ｍのドームがあり、天井の大理石の裂け目から落差29ｍの滝が落ちている。
展勝地,〒024-0043　岩手県北上市立花，稲瀬町観光,悠然と流れる北上川の河畔にある北上展勝地は、東北有数の桜の名所として知られ、「さくらの名所百選」「みちのく三大桜名所」に数えられています。珊瑚橋から２キロにわたる桜並木の他にも、約150種の様々な桜が、展勝地公園内293haに１万本あると言われ、４月中旬ごろに咲き始めるソメイヨシノから５月上旬のカスミザクラまで美しさを競います。展勝地という名称は、この公園内にある陣ヶ丘という小高い丘からの眺めが素晴らしく、展望のきいた名勝・景勝の地なので、展望の展と景勝地の勝をとって展勝地と呼ばれるようになったと言われています。豊かな樹木と景観に恵まれた展勝地は、春の桜やツツジから秋の紅葉、冬には北上川に白鳥が飛来し、四季折々の散策を楽しませてくれます。公園内は、みちのく民俗村、サトウハチロー記念館などの見どころが多彩で、北上の観光の拠点となっています。
特産品プラザ　らら・いわて,〒020-0024　岩手県盛岡市菜園1-3-6 農林会館1Ｆ観光,体にいいもの、おいしいもの、本当に良いものなどいわての味と技が一堂に。生鮮食品もあり、毎日の生活にもつかえる物産館です。
夏油高原スキー場,〒024-0322　岩手県北上市和賀町岩崎新田観光,遠くに鳥海山、岩手山を望むことができる最大積雪量4mの国内屈指の積雪量が自慢です。ナイター施設も充実しており、6人乗りのゴンドラが稼働し、滑走距離の長いナイターが楽しめます。スキーセンターには託児施設、展望天然風呂があります。レストラン、レンタルコーナー、ショップ、チケットカウンター、インフォメーションなどもあり、すべてがスキーセンター内の移動のみでOKです。スキースクールはSAJ公認(夏油高原スキースクール)があります。
盛岡城跡公園の桜,〒020-0023　岩手県盛岡市内丸1-37観光,南部氏の居城跡だが今は内堀・石垣が残るのみの公園となっている。若き日の石川啄木，宮沢賢治の愛したこの公園は，桜の木が多く市民の憩いの場となっている。春にはソメイヨシノ、エドヒガンなど約２００本が咲き誇り、さくらまつり期間中は夜間ぼんぼりが点灯、夜桜見物で賑う。
歴史公園えさし藤原の郷,〒023-1101　岩手県奥州市江刺区岩谷堂字小名丸86-1観光,奥州藤原氏が築いた伽羅御所や政庁をはじめ、平安建築群を再現。ＮＨＫ大河ドラマ等のロケ地としても使用され、歴史公園として保存公開。
とうほくニュージーランド村,〒029-4302　岩手県奥州市衣川区日向59観光,衣川の豊かな自然にたたずむとうほくニュージーランド村。美しいメルヘンの街並みや森、広大な牧場、大自然の中でとっておきの休日を満喫できる。
宮沢賢治イーハトーブ館,〒025-0014　岩手県花巻市高松1-1-1観光,宮沢賢治に関するさまざまなジャンルの芸術作品や研究論文をできる限り多く集め，わかりやすく整理して一般の人に公開している。宮沢賢治学会イーハトーブセンターの本拠が置かれている。
焼走り熔岩流,〒028-7113　岩手県八幡平市観光,国の特別天然記念物。1700年代に噴出した溶岩が固まり、全長約4キロ、幅約1.5キロにわたり、扇状の岩石帯を形成している。今でもほとんど植物が育たず、当時の噴火の様相がそのままの形で残されている自然遺産。
松川温泉,〒028-7302　岩手県八幡平市観光,岩手山の北麓，ブナやナラの原生林に囲まれた松川渓谷沿い。露天風呂を備えた旅館もあり，湯舟からの紅葉がみごと。日本発の地熱発電で有名。
毛越寺,〒029-4102　岩手県西磐井郡平泉町平泉字大沢58観光,藤原基衡が勅願により再興し、中尊寺をしのぐ規模を誇った寺院。今は庭園の跡と礎石土壇が遺る。
中尊寺,〒029-4102　岩手県西磐井郡平泉町平泉字衣関202観光,世界文化遺産。慈覚大師開基の天台宗の名刹。金色堂、経堂、一字金輪仏坐像など、平安時代の美術工芸の宝庫である。
愛真館,〒020-0055　岩手県盛岡市つなぎ字塗沢40-4,自慢の大浴場と庭園縄文露天風呂でお風呂のはしごを楽しんでみては。大浴場９時〜10時30分、庭園縄文露天風呂10時30分〜12時30分は清掃時間なのでご注意を。
岩山展望台,〒020-0803　岩手県盛岡市新庄字岩山50-6観光,標高約340ｍの頂上にあり，盛岡駅から車で15分の所に位置する岩山の展望台は，市街地はもちろん，岩手山や八幡平を含む奥羽山系から北上山系まで一望でき迫力満点。背後には岩手山が望める。盛岡全景を望む夜景スポットとしても人気がある。
安比高原,〒028-7557　岩手県八幡平市松尾観光,"日本有数のオールシーズンリゾート地。ゴンドラ遊覧、パークゴルフ、四輪バギーや引き馬などの牧場アクティビティ、森林浴の森日本百選に選定された「安比高原ブナ二次林」の散策などが楽しめる。また、冬は全21コース、最長滑走距離5,500ｍの広大なゲレンデで、スキーやスノーボードを楽しむことができる。"
館ケ森アーク牧場,〒029-3311　岩手県東磐井郡藤沢町黄海字衣井沢山9-15観光,鹿、ポニー、ニワトリ、各種ハーブ等
もりおか啄木・賢治青春館,〒020-0871　岩手県盛岡市中ノ橋通1-1-25 旧第九十銀行観光,盛岡を背景にした、啄木賢治の青春や文学のほか、当時の文化などを紹介。建物は明治43年に建てられた、旧第九十銀行本店で、レンガ造りの美しいロマネスク風の近代洋風建築で市の有形文化財・国指定重要文化財に指定されている。
道の駅「石神の丘」,〒028-4307　岩手県岩手郡岩手町大字五日市10-121-20観光,道の駅「石神の丘」は盛岡市と青森県境のほぼ中間に位置し、盛岡以北の国道4号で最初の「道の駅」です。この道の駅「石神の丘」は、県境の厳しい気象条件及び岩手山の火山活動を含めた情報を提供する「道路休憩施設」、県内一の出荷量を誇る新鮮な高原野菜をはじめ、町特産のブルーベリー加工品、また、地元風土が育んだ数々のおみやげ品などを販売する「産地形成促進施設」や「農産物加工施設」があります。
砂ゆっこ,〒029-5504　岩手県和賀郡湯田町槻沢25-16-8観光,約90度の熱い湯がたっぷり湧く槻沢温泉。この熱い湯と湯田町特産の湯田けい砂の砂風呂が楽しめる。砂の上に浴衣を着て寝ころぶと係の人が温かい砂をたっぷりかけてくれる。15分程で体中から汗が出て体内の毒素も抜けるよう。砂風呂の後は泉質抜群のお湯でサッパリ。入浴のみは２００円（中学以下１００円）。
&permil;Ô&Scaron;ª&permil;·?ò @&fnof;o&fnof;&permil;&permil;&euro;,§025-0304 @&Scaron;â&#x17D;è&OElig;§&permil;Ô&Scaron;ª&#x17D;s&ldquo;&rsquo;&ndash;{&lsquo;æ&circ;ê&rsquo;n&Scaron;&bdquo;125&rdquo;Ô&rsquo;n&Scaron;Ï&OElig;õ,"&permil;Ô&Scaron;ª&permil;·?ò&sbquo;Ì&bull;~&rsquo;n&ldquo;à&sbquo;É&sbquo; &sbquo;è A&sbquo;©&sbquo;Â&sbquo;Ä&lsaquo;{&lsquo;ò&OElig;«&#x17D;¡&sbquo;É&sbquo;æ&sbquo;è&lsquo;¢&sbquo;ç&sbquo;ê&sbquo;½&ldquo;ì&#x17D;Î&permil;Ô&rsquo;d&sbquo;Ì?Õ&rsquo;n&sbquo;É1960&rdquo;N&sbquo;É&Scaron;J&permil;&euro;&sbquo;µ&sbquo;Ü&sbquo;µ&sbquo;½ B&ldquo;&OElig;&ndash;k&lsaquo;ü&#x17D;w&sbquo;Ì&fnof;o&fnof;&permil;&permil;&euro;&sbquo;Å450&#x17D;í A6,000&Scaron;&rdquo;&sbquo;Ì&fnof;o&fnof;&permil;&sbquo;ª6&OElig;&#x17D;?ã?{&sbquo;æ&sbquo;è10&OElig;&#x17D;&rsquo;&dagger;?{&sbquo;Ü&sbquo;Å&lsquo;N&sbquo;â&sbquo;©&sbquo;É?ç&sbquo;«&lsquo;±&sbquo;¯&sbquo;Ü&sbquo;· B&fnof;o&fnof;&permil;&sbquo;Ì&rsquo;&dagger;&sbquo;É&sbquo;Í&permil;Ô&Scaron;ª&permil;·?ò&sbquo;Å&bull;i&#x17D;í&permil;ü&mdash;Ç&sbquo;³&sbquo;ê&ldquo;o&tilde;^&sbquo;³&sbquo;ê&sbquo;½ u&fnof;z&fnof;b&fnof;g&permil;Ô&Scaron;ª v&sbquo;ð&sbquo;Í&sbquo;¶&sbquo;ß&lsquo;S5&#x17D;í&mdash;Þ&sbquo;Ì&fnof;I&fnof;&Scaron;&fnof;W&fnof;i&fnof;&lsaquo;&bull;i&#x17D;í&sbquo;Ì&sbquo;Ù&sbquo;© A&fnof;C&fnof;&ldquo;&fnof;O&fnof;&Scaron;&fnof;b&fnof;V&fnof;&hellip;&fnof;? [&fnof;Y&sbquo;â&fnof;I [&fnof;&lsaquo;&fnof;h&fnof;? [&fnof;Y&sbquo;È&sbquo;Ç&mdash;l X&sbquo;È&bull;i&#x17D;í&sbquo;ð&OElig;©&sbquo;é&sbquo;±&sbquo;Æ&sbquo;ª?o&mdash;&circ;&sbquo;Ü&sbquo;· B&sbquo;Ü&sbquo;½&permil;&euro;&ldquo;à&sbquo;É&sbquo;Í&lsaquo;{&lsquo;ò&OElig;«&#x17D;¡&sbquo;ª?Ý&OElig;v&sbquo;µ&sbquo;½&ldquo;ú&#x17D;&#x17E;&OElig;v&permil;Ô&rsquo;d&sbquo;à&sbquo; &sbquo;è A&#x17D;l&lsaquo;G?Ü X&sbquo;Ì&lsquo;?&permil;Ô&sbquo;ª&permil;Ô&sbquo;ð?ç&sbquo;©&sbquo;¹&sbquo;Ä&sbquo;¢&sbquo;Ü&sbquo;· B"
焼石クアパークひめかゆ,〒023-0403　岩手県奥州市胆沢区若柳字天沢52-7観光,泉質は、切り傷・やけど・慢性皮膚炎に効くナトリウム塩化物泉。水着で楽しむ8種類の浴槽もあり。温泉気分を味わいながら水と親しめ、リハビリ用としても利用できるスポットです。
瀬美温泉,〒024-0322　岩手県北上市和賀町岩崎新田1-128-2観光,北上市から西へ２２ｋｍの、夏油温泉へ行く途中にあり、3つの異なる源泉と7つのお風呂が楽しめます。山形の瀬見温泉とは異なります。カジカやヒグラシが鳴き、時折、カモシカも姿を見せる瀬美の渓流に面しており、渓流のせせらぎを聞きながら静かに過ごせるので、湯治には絶好の環境です。積雪期でも、ここまではバスが入るので便利です。ペットも家族同様という方の為に、ペット専用のお風呂を準備しました。また、新館「桐の花」もオープンしました。
石割桜,〒020-0023　岩手県盛岡市内丸9-1 盛岡地方裁判所敷地内観光,盛岡地方裁判所の構内にある石割桜は、 盛岡のお国自慢をするとき、「石割桜こそ日本一の名桜」などといって、 よく取り上げられる珍しい桜です。 巨大な花崗岩の岩の狭い割れ目に直径約1.35メートル、 樹齢が360年を越えるといわれるエドヒガンザクラが生育しているのです。 巨大な花崗岩と調和した威厳ある美しい姿と珍しさでは、 日本一といっていいのではないでしょうか。この石割桜にもかつて危機がありました。 昭和7年に盛岡地方裁判所が火災に遭い、石割桜も北側の一部が焼けましたが、 幸い全焼を免れ翌春には再び花を咲かせたのでした。 現在は保護管理も良く、毎年見事に開花を続け、たくさんの人の目を楽しませています。 ここは南部藩主の分家にあたる北監物の庭園であったといわれ、 明治初期には桜雲石と呼ばれていたようです。 1923（大正12）年、国の天然記念物に指定されています。
安比高原スキー場,〒028-7557　岩手県八幡平市安比高原観光,"安比高原スキー場は、オーストリアのアルベルクやアメリカのアスペンなど世界を代表するスキーエリアと同じ北緯40度にあり、国立公園八幡平から連なる標高1,305mの前森山と1,328mの西森山に広がるゲレンデは、主に日照時間の短い北斜面にスロープを配していることから「キュッキュッ」と鳴る良質のアスピリンスノーに恵まれ、12月上旬頃〜5月上旬の春スキーまで、長い期間ウィンタースポーツを楽しむことが出来ます。"
不動の滝,〒028-7542　岩手県八幡平市高畑観光,高さ15mの滝が周囲の静かな空気を震わせながら流れ落ちる。かつて修験者の道場だったといわれ、森閑とした一帯は今なお、その雰囲気が漂う。滝の中ほどに、石彫不動明王が安置されている。日本の滝百選。不動の滝を有する桜松神社には、境内に縁結びの木がある。渓流に沿った遊歩道の散策も楽しめる。
岩手サファリパーク,〒029-3311　岩手県一関市藤沢町黄海字山谷121-2観光,アフリカ動物などの中を車で探検するサファリパークとサル劇場、フラミンゴショー、サルとふれあえる世界のモンキーセンターゾウの背中に乗れるゾウの村があります。
ホテル森の風アネックス　沢内銀河高原,〒029-5701　岩手県和賀郡沢内村川舟3-647-1,銀河高原発祥の地、沢内銀河高原。天然温泉『かたくりの湯』は肌にやさしいアルカリ性単純泉。露天風呂から眺める青い空、樹々は最高。夜は満天の星が迎えてくれる。大浴場、水風呂、サウナ完備。
道の駅にしね,〒028-7111　岩手県八幡平市大更2-154-36観光,新鮮で美味しい市内の農産物・特産品を直売している
小岩井農場の一本桜,岩手県岩手郡雫石町,ドラマにも多数採用された圧倒的な景観。秀峰岩手山を背景に、小岩井農場の緑の大地に根を張る一本桜（樹種：エドヒガン）。詳しい樹齢は不明ですが、明治40年代 (約100年前)に植えられたと言われています。　一本桜があるこの草地は、今は農場の牛などの餌になる牧草を収穫する畑ですが、昔は牛の放牧地でした。牛は暑さが苦手なので、夏の強い日差しから牛を守る「日陰樹」として植えられたものです。
イギリス海岸,〒025-0063　岩手県花巻市下小舟渡観光,イギリス海岸は、瀬川と北上川が合流する地点の西岸にあります。白い泥岩層が川に沿って露出しているこのエリアを、宮沢賢治はドーバー海峡の白亜の壁を連想して「イギリスあたりの白亜の海岸を歩いているような気がする」といって「イギリス海岸」と名付けました。平成18年7月28日付で、国指定名勝「イーハトーブ風景地」の一つに指定されています。ここ十数年は、河川管理が進んだために、川の水位が下がった時にしか泥岩層が見られなくなりました。
大沢温泉自炊部,〒025-0244　岩手県花巻市湯口字大沢181観光,見上げれば木々が揺れ、見下ろせば川が流れる。紅葉や新緑の季節が特におすすめ。湯加減も丁度よくゆっくりとつかれる。自炊部は常連さんはもちろん、若い人の利用も多く、誰でも気軽に愉しむ事ができる。泉質は硫化水素泉で弱アルカリ性。隣接の「山水閣」の「山水の湯」は別料金８００円で入浴できる。
石と賢治のミュージアム,〒029-0303　岩手県一関市東山町松川字滝ノ沢149-1観光,晩年の宮沢賢治が技術師として働いた旧東北砕石工場とその関連資料の展示やイベントが行なわれる・太陽と風の家がある。
八幡平ハイツ,〒028-7302　岩手県八幡平市八幡平温泉郷観光,すべての基本情報を見る
シープラザ釜石（釜石物産センター）,〒026-0031　岩手県釜石市鈴子町22-1観光,人と物の交流・交歓による情報の拠点。特産品や地元産品の展示即売会、イベント会場、観光案内所などが設けられている。
